CompanyName	Value(1000s)	Shares	OrderType
ANTHEM INC	151	76000	Market
ANTHERA PHARMACEUTICALS INC	820	1263899	Market
ANWORTH MORTGAGE ASSET CP	27605	5339458	Market
AON PLC	454283	4073193	Market
APACHE CORP	355155	5595642	Market
APARTMENT INVT & MGMT CO	168251	3701894	Market
APOGEE ENTERPRISES INC	120622	2252093	Market
APOLLO COML REAL EST FIN INC	72865	4384171	Market
APOLLO COML REAL EST FIN INC	30	29000	Market
APOLLO ED GROUP INC	26195	2645959	Market
APOLLO ENDOSURGERY INC	1	72	Market
APPFOLIO INC	5912	247873	Market
APPLE HOSPITALITY REIT INC	50183	2511649	Market
APPLE INC	8899437	76838518	Market
APPLIANCE RECYCLING CTRS AME	1	869	Market
APPLIED DNA SCIENCES INC	108	58456	Market
APPLIED GENETIC TECHNOL CORP	3848	411554	Market
APPLIED INDL TECHNOLOGIES IN	179630	3024067	Market
APPLIED MATLS INC	534820	16573302	Market
APPLIED MICRO CIRCUITS CORP	20124	2439299	Market
APPLIED OPTOELECTRONICS INC	12713	542348	Market
APPROACH RESOURCES INC	400	119523	Market
APPTIO INC	3762	203039	Market
APRICUS BIOSCIENCES INC	2	1280	Market
APTARGROUP INC	183841	2502940	Market
APTEVO THERAPEUTICS INC	1185	485457	Market
AQUA AMERICA INC	212973	7089662	Market
AQUA METALS INC	4520	344740	Market
AQUAVENTURE HLDGS LTD	5649	230305	Market
AQUINOX PHARMACEUTICALS INC	5460	330737	Market
ARADIGM CORP	4	2675	Market
ARALEZ PHARMACEUTICALS INC	3970	900339	Market
ARAMARK	125747	3520361	Market
ARATANA THERAPEUTICS INC	11345	1580116	Market
ARBOR RLTY TR INC	80	10715	Market
ARC DOCUMENT SOLUTIONS INC	6884	1355129	Market
ARC GROUP WORLDWIDE INC	96	21855	Market
ARCA BIOPHARMA INC	43	14998	Market
ARCADIA BIOSCIENCES INC	33	35655	Market
ARCBEST CORP	56000	2025305	Market
ARCH CAP GROUP LTD	266861	3092610	Market
ARCH COAL INC	694	8888	Market
ARCHER DANIELS MIDLAND CO	370428	8114516	Market
ARCHROCK INC	75762	5739570	Market
ARCONIC INC	193079	10414207	Market
ARCONIC INC	82052	2721467	Market
ARCOS DORADOS HOLDINGS INC	3712	687456	Market
ARCTIC CAT INC	16827	1120277	Market
ARDELYX INC	23939	1685837	Market
ARDMORE SHIPPING CORP	6880	929711	Market
ARENA PHARMACEUTICALS INC	15943	11227729	Market
ARES CAP CORP	90	87000	Market
ARES COML REAL ESTATE CORP	20405	1486187	Market
ARGAN INC	30285	429267	Market
ARGO GROUP INTL HLDGS LTD	60356	915869	Market
ARGOS THERAPEUTICS INC	2233	455673	Market
ARI NETWORK SVCS INC	44	8181	Market
ARIAD PHARMACEUTICALS INC	111455	8959423	Market
ARISTA NETWORKS INC	48087	496916	Market
ARK RESTAURANTS CORP	122	5047	Market
ARLINGTON ASSET INVT CORP	7976	538220	Market
ARMADA HOFFLER PPTYS INC	16095	1104696	Market
ARMOUR RESIDENTIAL REIT INC	42792	1972894	Market
ARMSTRONG FLOORING INC	15162	761504	Market
ARMSTRONG WORLD INDS INC NEW	20760	496644	Market
AROTECH CORP	208	59370	Market
ARQULE INC	210	167044	Market
ARRAY BIOPHARMA INC	65779	7483416	Market
ARRHYTHMIA RESH TECHNOLOGY I	2	620	Market
ARRIS INTL INC	230603	7653587	Market
ARROW ELECTRS INC	257751	3615016	Market
ARROW FINL CORP	15395	380114	Market
ARROWHEAD PHARMACEUTICALS IN	4579	2954446	Market
ARTESIAN RESOURCES CORP	8175	255957	Market
ARTISAN PARTNERS ASSET MGMT	11634	391056	Market
ARTS WAY MFG INC	1	304	Market
ASB BANCORP INC N C	418	14044	Market
ASBURY AUTOMOTIVE GROUP INC	99132	1606674	Market
ASCENA RETAIL GROUP INC	84996	13731234	Market
ASCENT CAP GROUP INC	5503	338443	Market
ASHFORD HOSPITALITY PRIME IN	10585	775431	Market
ASHFORD HOSPITALITY TR INC	20493	2640900	Market
ASHFORD INC	7	153	Market
ASHLAND GLOBAL HLDGS INC	275474	2520578	Market
ASML HOLDING N V	14074	125441	Market
ASPEN AEROGELS INC	184	44500	Market
ASPEN INSURANCE HOLDINGS LTD	120452	2190042	Market
ASPEN TECHNOLOGY INC	137125	2507771	Market
ASSEMBLY BIOSCIENCES INC	588	48385	Market
ASSOCIATED BANC CORP	152049	6155814	Market
ASSOCIATED CAP GROUP INC	4738	144230	Market
ASSURANT INC	95803	1031692	Market
ASSURED GUARANTY LTD	55606	1472218	Market
ASTA FDG INC	106	10858	Market
ASTEC INDS INC	100189	1485162	Market
ASTERIAS BIOTHERAPEUTICS INC	3260	708778	Market
ASTORIA FINL CORP	139050	7455789	Market
ASTRONICS CORP	33017	975688	Market
ASTRONOVA INC	242	17006	Market
ASTROTECH CORP	59	39473	Market
ASURE SOFTWARE INC	19	2217	Market
AT HOME GROUP INC	3582	244839	Market
AT&T INC	4444935	104512943	Market
ATARA BIOTHERAPEUTICS INC	15783	1111507	Market
ATHENAHEALTH INC	43448	413123	Market
ATHERSYS INC	3765	2460728	Market
ATKORE INTL GROUP INC	8893	371951	Market
ATLANTIC AMERN CORP	3	749	Market
ATLANTIC CAP BANCSHARES INC	10844	570735	Market
ATLANTIC COAST FINL CORP	299	43978	Market
ATLANTIC PWR CORP	9755	3901938	Market
ATLANTICA YIELD PLC	34670	1791710	Market
ATLANTICUS HLDGS CORP	5	1610	Market
ATLAS AIR WORLDWIDE HLDGS IN	104689	2007464	Market
ATLAS FINANCIAL HOLDINGS INC	6716	372096	Market
ATLASSIAN CORP PLC	5754	238962	Market
ATMOS ENERGY CORP	311755	4204386	Market
ATN INTL INC	88933	1109854	Market
ATOMERA INC	57	8504	Market
ATOSSA GENETICS INC	1	639	Market
ATRICURE INC	22171	1132907	Market
ATRION CORP	24639	48578	Market
ATWOOD OCEANICS INC	67248	5121729	Market
ATYR PHARMA INC	88	40957	Market
AUBURN NATL BANCORP	19	595	Market
AUDENTES THERAPEUTICS INC	8741	478418	Market
AUTOBYTEL INC	3005	223451	Market
AUTODESK INC	304558	4115092	Market
AUTOLIV INC	14200	125493	Market
AUTOMATIC DATA PROCESSING IN	879656	8558627	Market
AUTONATION INC	54374	1117647	Market
AUTOZONE INC	537120	680080	Market
AV HOMES INC	6330	400615	Market
AVALONBAY CMNTYS INC	939660	5304321	Market
AVANGRID INC	21244	560823	Market
AVEO PHARMACEUTICALS INC	9	16272	Market
AVERY DENNISON CORP	119922	1707800	Market
AVEXIS INC	25826	541090	Market
AVIAT NETWORKS INC	25	1806	Market
AVID TECHNOLOGY INC	4597	1044691	Market
AVINGER INC	2155	582483	Market
AVIRAGEN THERAPEUTICS INC	130	105952	Market
AVIS BUDGET GROUP	150942	4115114	Market
AVISTA CORP	334630	8367852	Market
AVNET INC	244701	5139708	Market
AVON PRODS INC	134107	26608612	Market
AVX CORP NEW	23859	1526502	Market
AWARE INC MASS	290	47509	Market
AXALTA COATING SYS LTD	53442	1964791	Market
AXCELIS TECHNOLOGIES INC	13926	957112	Market
AXIS CAPITAL HOLDINGS LTD	150850	2311168	Market
AXOGEN INC	7485	831628	Market
AXOVANT SCIENCES LTD	8985	723456	Market
AXSOME THERAPEUTICS INC	2417	358046	Market
