CompanyName	Value(1000s)	Shares	OrderType
THOMSON REUTERS CORP	2597	56163	Market
TIME INC NEW	240	16725	Market
TJX COS INC NEW	4761	65968	Market
TOLL BROTHERS INC	2860	72381	Market
TORO CO	238	3435	Market
TORONTO DOMINION BK ONT	18552	369816	Market
TOTAL SYS SVCS INC	334	5728	Market
TRANSCANADA CORP	9033	189768	Market
TUPPERWARE BRANDS CORP	331	4720	Market
TURQUOISE HILL RES LTD	981	369193	Market
TWENTY FIRST CENTY FOX INC	1307	46106	Market
TWO HBRS INVT CORP	145	14613	Market
TYSON FOODS INC	7807	124645	Market
UDR INC	351	9001	Market
UNION PAC CORP	1636	15025	Market
UNITED CONTL HLDGS INC	1806	24001	Market
UNITED PARCEL SERVICE INC	341	3087	Market
UNITED RENTALS INC	7959	70612	Market
UNITED TECHNOLOGIES CORP	2201	18028	Market
UNITED THERAPEUTICS CORP DEL	9596	73968	Market
UNITEDHEALTH GROUP INC	993	5357	Market
URBAN OUTFITTERS INC	2615	141064	Market
US BANCORP DEL	214	4118	Market
VALE S A	2642	301996	Market
VALEANT PHARMACEUTICALS INTL	1220	70269	Market
VANGUARD INTL EQUITY INDEX F	3221083	78890113	Market
VANGUARD TAX MANAGED INTL FD	57737	1397315	Market
VANTIV INC	211	3327	Market
VARIAN MED SYS INC	1319	12783	Market
VERISIGN INC	12068	129823	Market
VERISK ANALYTICS INC	242	2872	Market
VERIZON COMMUNICATIONS INC	2754	61657	Market
VERTEX PHARMACEUTICALS INC	2406	18673	Market
WALGREENS BOOTS ALLIANCE INC	4898	62547	Market
WASHINGTON PRIME GROUP NEW	152	18118	Market
WASTE CONNECTIONS INC	237	3676	Market
WASTE MGMT INC DEL	2922	39843	Market
WEC ENERGY GROUP INC	456	7422	Market
WESTERN UN CO	3639	191045	Market
WHEATON PRECIOUS METALS CORP	3814	192010	Market
WHIRLPOOL CORP	2961	15454	Market
WILEY JOHN & SONS INC	231	4387	Market
XCEL ENERGY INC	489	10669	Market
XILINX INC	487	7566	Market
YAMANA GOLD INC	926	376048	Market
